"","","5%","16.5%","50%","83.5%","95%"
"",,,,,,
"","quantiles.K","5%","16.5%","50%","83.5%","95%"
"2018-19",,"918.788617489123","955.064186104099","998.803205198765","1031.76023066597","1076.85242134328"
"2019-20",,"752.519795314576","911.619804782437","953.369204067426","984.82706581092","1027.74101822981"
"2020-21",,"882.475569967181","917.317428562327","959.327761592848","990.982234972238","1036.72157833997"
"2021-22",,"729.003551710995","883.131685882985","923.576416440319","954.051220004328","998.085991569539"
"2022-23",,"760.162574485739","920.878443424758","963.051860046236","994.829215698062","1040.74611862856"
"",,,,,,
"","quantiles.1","5%","16.5%","50%","83.5%","95%"
"2018-19",,"821.319932381782","847.904221638772","894.450535317965","950.236622383888","1051.75606476939"
"2019-20",,"845.102642336814","909.302496701861","976.711690682382","1045.56183723802","1117.93486096442"
"2020-21",,"790.92826295712","867.939743309755","930.783927264216","999.101606602312","1051.52880886016"
"2021-22",,"820.337485015588","880.913979328054","938.168466129404","1007.45005119294","1075.00307345773"
"2022-23",,"765.113804861155","840.640926607763","901.696929537209","966.813331972516","1033.67199952638"
"",,,,,,
"","quantiles.2","5%","16.5%","50%","83.5%","95%"
"2018-19",,"828.162568300985","853.122202305185","879.12860748016","940.028928035242","962.952043934154"
"2019-20",,"759.288079121723","786.779787701685","838.686277968177","903.313776031398","956.542608855444"
"2020-21",,"774.425688133618","844.251605365525","914.353101536248","994.216047611685","1062.59039909444"
"2021-22",,"736.424226590665","805.020645625975","872.949828341097","949.001188434069","1013.30159281405"
"2022-23",,"755.688986843409","808.56490352916","878.695856520403","957.035174307006","1023.39842652539"
"",,,,,,
"","quantiles.3","5%","16.5%","50%","83.5%","95%"
"2018-19",,"758.153101023223","880.543730471806","925.775921640789","981.279666269395","1134.75418408295"
"2019-20",,"729.329976272798","784.786377941881","847.03690334838","915.109497805303","991.007387822498"
"2020-21",,"674.269678206265","733.439928851401","803.630871663239","888.546333304315","971.857563717721"
"2021-22",,"701.89306454179","784.89019350751","874.223223414382","973.879703029352","1069.00642948144"
"2022-23",,"673.521108666386","745.690680830734","832.838293687068","931.411333788648","1029.94510661268"
"",,,,,,
"","quantiles.4","5%","16.5%","50%","83.5%","95%"
"2018-19",,"883.679850566931","956.843531579558","1032.79506608356","1078.85893432352","1284.38174584337"
"2019-20",,"751.4984708592","823.483993706315","910.930023062208","985.484656054702","1125.88349989521"
"2020-21",,"679.611291320045","744.766304631959","828.637039357852","926.288330539257","1034.68630495594"
"2021-22",,"633.617759178366","695.989029874548","786.046075923882","891.773082612719","1001.16097742314"
"2022-23",,"668.94882273645","745.442097913784","854.860503535709","979.960561772499","1091.47194049319"
"",,,,,,
"","quantiles.5","5%","16.5%","50%","83.5%","95%"
"2018-19",,"878.298528529458","973.157082028056","1035.24049942557","1116.19291112994","1307.19033209874"
"2019-20",,"837.183817858171","894.480889914447","1004.76604131702","1102.43044195161","1258.20050912772"
"2020-21",,"704.93731155603","771.549449179275","879.76260121215","1003.34593024527","1125.60982204719"
"2021-22",,"635.132779360257","700.028799444981","803.827023488712","924.075637595017","1039.46472199602"
"2022-23",,"591.462131270069","656.932857988407","766.219112228874","892.703396916041","1007.97962577596"
"",,,,,,
"","quantiles.6","5%","16.5%","50%","83.5%","95%"
"2018-19",,"897.105731578696","970.28950918965","1030.99335366745","1064.92190380613","1252.94865563453"
"2019-20",,"850.763657153902","892.596811883648","1010.35769036976","1110.391293793","1261.83501929819"
"2020-21",,"774.337121716901","845.066763362466","970.891377509014","1100.3636929864","1248.72164793457"
"2021-22",,"658.285786293257","730.908515232286","848.828404128277","993.125000862449","1124.57996949702"
"2022-23",,"595.761794718974","662.157807065322","774.705020776174","913.80865179944","1032.66771339636"
"",,,,,,
"","quantiles.7","5%","16.5%","50%","83.5%","95%"
"2018-19",,"825.301033031897","896.648860062656","1036.90247754619","1132.58789369382","1342.28444873821"
"2019-20",,"822.901237747354","890.584816766448","1019.82872443759","1144.35911987628","1317.96989735641"
"2020-21",,"784.855394778291","862.54125957453","1004.16521693595","1156.38549843142","1316.08017247371"
"2021-22",,"725.07006060919","815.416998107965","963.380509006691","1144.6652423864","1307.89384747422"
"2022-23",,"622.194044718193","705.322453259842","846.947671761488","1013.98210178628","1180.48756698079"
"",,,,,,
"","quantiles.8","5%","16.5%","50%","83.5%","95%"
"2018-19",,"757.801884375513","823.770899161409","909.128246616281","993.448241062848","1164.15897826584"
"2019-20",,"802.433759514781","870.788441807424","1008.1254489939","1132.16993867374","1305.09270366755"
"2020-21",,"761.749969964659","849.90870657047","992.846641352124","1149.12689505111","1318.7076305289"
"2021-22",,"728.453353055184","821.387117359793","971.993297975183","1161.83695961861","1327.84338066389"
"2022-23",,"685.422174482162","779.306477036524","938.240856716162","1142.08430686018","1320.08193190894"
"",,,,,,
"","quantiles.9","5%","16.5%","50%","83.5%","95%"
"2018-19",,"535.920846428311","709.238351159535","834.353650083522","987.143834732663","1029.30504280917"
"2019-20",,"564.561091365628","671.706111790408","790.200424496887","947.199513897424","1091.96908049879"
"2020-21",,"597.811761043078","714.370854477972","874.805687116268","1080.50493962245","1249.9464710539"
"2021-22",,"585.213164259957","703.175486532194","866.637008896958","1084.05774453536","1270.21521431035"
"2022-23",,"565.942436817952","671.988115142586","841.51482337968","1066.65293689478","1261.92759867709"
"",,,,,,
"","quantiles.10","5%","16.5%","50%","83.5%","95%"
"2018-19",,"611.0828453382","677.210346056565","739.818864579154","837.311313354684","1024.8906434144"
"2019-20",,"565.437820165496","684.949309944738","811.943752295199","982.813231139245","1136.36456921389"
"2020-21",,"535.752106134188","634.066980381099","775.44078603185","968.862438526957","1137.61413757021"
"2021-22",,"563.599335949132","678.337949552056","861.563590416673","1105.92840839477","1311.1673241244"
"2022-23",,"552.536776107641","669.757909064785","858.2660164883","1091.34535994702","1318.04756113328"
"",,,,,,
"","quantiles.11","5%","16.5%","50%","83.5%","95%"
"2018-19",,"450.711598448742","664.788777664243","735.656801713607","802.681530306998","961.954479848557"
"2019-20",,"529.225967514157","641.512297570695","746.21659239774","880.590192989095","1014.88396823414"
"2020-21",,"499.065034462259","637.441269823583","807.567663982819","1011.45174434172","1197.52197618495"
"2021-22",,"477.148596754519","594.961661509465","772.407254201808","993.606615743216","1175.83720945844"
"2022-23",,"507.252686757515","635.99512641534","855.806561598703","1118.71198586793","1367.82456501006"
"",,,,,,
"","quantiles.12","5%","16.5%","50%","83.5%","95%"
"2018-19",,"634.87861347319","665.935929771599","740.091374824649","874.016632227117","1028.0881765673"
"2019-20",,"522.452829418926","617.61782970352","727.227768345812","890.185018089914","1003.07700245765"
"2020-21",,"515.334687136906","609.024970805566","746.68220479147","927.085090058483","1087.84135088666"
"2021-22",,"492.580207592233","615.812270539635","810.016382047328","1047.76995336359","1272.24057068541"
"2022-23",,"464.355239062896","576.910077457152","770.104534205813","1026.68857181497","1255.29883076786"
"",,,,,,
"","quantiles.elem","5%","16.5%","50%","83.5%","95%"
"2018-19",,"5512.73881440364","5627.15983891931","5780.41339498723","5945.02909805177","6085.28713756805"
"2019-20",,"5199.81809328869","5334.03541821427","5536.97996459157","5749.41800743707","5906.19704647954"
"2020-21",,"4976.9054008077","5119.23154066631","5326.05609317167","5553.71667418957","5732.02659011672"
"2021-22",,"4844.72769509896","4994.75790349392","5208.78539435896","5444.57020914136","5620.55431584156"
"2022-23",,"4825.12778661091","4974.81170511739","5209.22274253184","5451.5186577703","5639.91688907347"
"",,,,,,
"","quantiles.midl","5%","16.5%","50%","83.5%","95%"
"2018-19",,"2717.10335081431","2822.96636566513","2973.63830222768","3135.04935890074","3283.00532503193"
"2019-20",,"2711.51859694638","2844.74946341863","3050.72785231202","3287.36771971276","3480.57229234057"
"2020-21",,"2596.75161099191","2748.46473371306","2988.53063127962","3260.8880362722","3483.95521644114"
"2021-22",,"2392.37542808044","2556.60009355859","2817.90682216093","3115.33910587735","3357.97811794981"
"2022-23",,"2176.85990441892","2331.72904078184","2598.73337290714","2891.82246227813","3133.38042125105"
"",,,,,,
"","quantiles.high","5%","16.5%","50%","83.5%","95%"
"2018-19",,"2738.8747152941","2886.70140064632","3088.60179760374","3304.5566965736","3480.88093136746"
"2019-20",,"2660.5791728777","2845.89388602306","3122.60278468241","3421.50448744475","3666.98730701672"
"2020-21",,"2700.79745833184","2922.30163071874","3264.46137381633","3653.08884045806","3939.63680546508"
"2021-22",,"2739.87376281375","2985.19618967734","3384.47924478353","3839.69255550731","4179.37121083132"
"2022-23",,"2708.9346173198","2977.10661434711","3410.63071344082","3911.51722582576","4289.59317101773"
"",,,,,,
"","quantiles.total","5%","16.5%","50%","83.5%","95%"
"2018-19",,"11345.057075076","11553.7258530633","11850.138701683","12177.3573015821","12417.735776602"
"2019-20",,"11051.3902578673","11318.1071978862","11727.5651939696","12167.79795502","12498.1528113334"
"2020-21",,"10812.0691950655","11124.6332687681","11616.4853532283","12121.5958183834","12506.5452826126"
"2021-22",,"10573.0737913079","10891.1255800595","11445.5340517874","12030.0614352143","12451.3741541692"
"2022-23",,"10318.0871697711","10685.7192186626","11244.816952684","11861.1336013417","12313.6210413157"
"",,,,,,
